,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
10,8/22/2018 22:34:04,feminino,38,brazil,sao paulo,sao carlos,pos doutorado,engenheira de alimentos,nao,,pesquisador,biologia,16 - 20,microbiologia,sim,sim,gnps: global natural products social molecular networking,satisfatorio,muitos pesquisadores e poucos equipamentos,,incubadores com shaker; centrifugas; hplcs,nao,,"apesar de dificuldades com equipamentos, nao foi necessario alterar nenhum projeto porque contamos com equipamentos de colaboradores",incubadora com agitacao,sim,sim,por ser a unica marca disponivel no momento,nao
11,8/22/2018 22:34:33,feminino,31,,rio de janeiro,niteroi,doutorado,biologia,"sim, instituicao publica",universidade federal do rio de janeiro,estudante,biologia,06 - 10,ecologia,nao,nao,nao,parcialmente satisfatorio,muitos pesquisadores e poucos equipamentos,,"computadores workstation, cameras trap, radio colares, armadilhas de captura",sim,armadilhas fotograficas,equipamento indisponivel (outras razoes alem de quebra),computadores workstation,sim,nao,,
12,8/22/2018 22:44:32,masculino,63,,sao paulo,campinas,doutorado,medicina,"sim, instituicao privada",faculdade de medicina sao leopoldo mandic,professor,saude,41 - 45,cirurgia,nao sei responder,sim,sim,satisfatorio,demora na manutencao/conserto do equipamento existente,,,nao tenho conhecimento,,equipamento indisponivel (outras razoes alem de quebra),,sim,sim,buscava um preco mais acessivel,sim
13,8/22/2018 22:48:32,feminino,27,brazil,sao paulo,jundiai,"mestrado, em andamento",quimica,"sim, instituicao publica",,estudante,quimica,01 - 05,analitica,sim,sim,nao,parcialmente satisfatorio,certos tipos de equipamento nao estao disponiveis,alguns equipamentos que so se pode ter acesso atendendo exigencias do professor responsavel ou atraves de pagamentos,"raman, microscopio eletronico, plasma",sim,xps,por quebra do equipamento existente e demora na manutencao,,sim,nao,,
14,8/22/2018 22:55:32,masculino,42,brazil,minas gerais,barbacena,mestrado,professor,"sim, instituicao publica",epcar,"pesquisador, professor",saude,11 - 15,educacao fisica,nao,nao,nao,parcialmente satisfatorio,muitos pesquisadores e poucos equipamentos,,computadores,nao,,por quebra do equipamento existente e demora na manutencao,analisador de gases,sim,nao,,
15,8/22/2018 23:31:11,masculino,19,brazil,ceara,iguatu,"graduacao - licenciatura, em andamento",ciencias biologicas,"sim, instituicao publica",universidade estadual do ceara,estudante,biologia,01 - 05,ecologia de processos,nao sei responder,sim,nao,insatisfatorio,certos tipos de equipamento nao estao disponiveis,baixo investimento,,nao,,,nn consigo definir apenas um,talvez,nao,,
16,8/22/2018 23:40:24,feminino,36,brazil,rj,rio de janeiro,"doutorado, pos doutorado",nutricao,"sim, instituicao publica",unirio,"pesquisador, professor",saude,11 - 15,nutricao,sim,sim,nao,parcialmente satisfatorio,certos tipos de equipamento nao estao disponiveis,precisa pedir para o chefe do laboratorio para usar,dexa,sim,dexa,equipamento indisponivel (outras razoes alem de quebra),inbody,sim,nao,,
17,8/23/2018 0:35:20,feminino,38,brazil,rio de janeiro,nova friburgo,graduacao - licenciatura,ciencias biologicas,"sim, instituicao publica",cederj,estudante,biologia,06 - 10,fisica moderna,sim,sim,"que eu me lembre, nao",satisfatorio,muitos pesquisadores e poucos equipamentos,,"microscopios, lupas, aparelho de eletroforese, centrifuga",sim,a falta de eletroforese na aula de biologia celular,"equipamento indisponivel (outras razoes alem de quebra), nao ha o aparelho no laboratorio",irga,sim,sim,pela marca ter sido recomendada,sim
18,8/23/2018 0:46:27,feminino,34,brazil,rio de janeiro,sao jose de uba,"graduacao - bacharelado, graduacao - licenciatura",farmacia/ ciencias biologicas,"sim, instituicao publica",uenf,estudante,biologia,01 - 05,,nao sei responder,nao sei responder,,prefiro nao opinar no momento,demora na manutencao/conserto do equipamento existente,,,nao tenho conhecimento,,por quebra do equipamento existente e demora na manutencao,,sim,nao,,
19,8/23/2018 0:56:42,feminino,23,brazil,so paulo,botucatu,"graduacao - bacharelado, em andamento",engenharia de bioprocessos e biotecnologia,"sim, instituicao publica",,estudante,engenharia,01 - 05,micropropagacao de plantas,nao sei responder,nao sei responder,,insatisfatorio,"falta de equipamentos, mas nao por excesso de pesquisadores",,"autoclave, phmetro, agitador magnetico, camara de fluxo laminar, microondas",nao tenho conhecimento,,,"phmetro, autoclave",talvez,nao,,
20,8/23/2018 1:08:53,feminino,27,brazil,rio grande do sul,sao gabriel,"doutorado, em andamento",bacharel em biotecnologia,"sim, instituicao publica",unipampa,estudante,biologia,06 - 10,ecologia microbiana,sim,sim,sim,parcialmente satisfatorio,demora na manutencao/conserto do equipamento existente,,"sequenciador, termociclador",nao,,nenhuma alteracao no projeto de pesquisa foi necessaria pela falta ou quebra de equipamentos,sequenciador illumina,talvez,sim,pela necessidade de estabelecer novos protocolos e/ou experimentos no laboratorio,sim
21,8/23/2018 1:36:21,masculino,30,brazil,sp,porto ferreira,"mestrado, em andamento",eng. de biossistemas,"sim, instituicao publica",usp,"estudante, pesquisador",engenharia,06 - 10,sistemas agricolas,sim,sim,,parcialmente satisfatorio,certos tipos de equipamento nao estao disponiveis,alguns equipamentos ou softwares necessitam ser comprados e nao ha recursos para isso,"scanner, clorofilometros",sim,aparelho para medicao de ndvi,equipamento indisponivel (outras razoes alem de quebra),drone,talvez,sim,buscava um preco mais acessivel,sim
22,8/23/2018 1:47:28,feminino,37,brazil,sao paulo,sao paulo,"graduacao - bacharelado, especializacao, doutorado",biomedica,"sim, instituicao publica",unifesp,"pesquisador, professor",saude,11 - 15,fisiologia,sim,nao sei responder,imagej (?),insatisfatorio,certos tipos de equipamento nao estao disponiveis,inacessibilidade por dificuldade de agendamento (muitos usuarios) e/ou falta do equipamento na instituicao.,"freezer -80c, pcr em tempo real, microscopio cirurgico, odyssey, hplc",nao,,,hplc acoplado ao massa,sim,sim,pela necessidade de estabelecer novos protocolos e/ou experimentos no laboratorio,sim
23,8/23/2018 2:19:26,feminino,33,brazil,pb,joao pessoa,doutorado,farmacia,"sim, instituicao publica",,professor,biologia,11 - 15,fisiologia,nao,sim,nao,insatisfatorio,"nao ha laboratorios multiusuarios, os equipamentos sao monopolizada por pessoas",,citometro de fluxo,sim,citometro de fluxo,equipamento indisponivel (outras razoes alem de quebra),citometro de fluxo,sim,nao,,
24,8/23/2018 2:19:42,masculino,46,brazil,ms,ponta pora,"doutorado, em andamento",ciencia da computacao,"sim, instituicao publica",ufms,professor,ciencia da computacao,26 - 30,bioinformatica,sim,sim,sim,satisfatorio,nao percebo dificuldades em relacao ao acesso de equipamentos,,sequenciador de dna,nao tenho conhecimento,,nenhuma alteracao no projeto de pesquisa foi necessaria pela falta ou quebra de equipamentos,impressora 3d e sequenciador de dna,sim,nao,,
25,8/23/2018 2:25:26,masculino,23,brazil,parana,curitiba,"graduacao - bacharelado, graduacao - licenciatura, em andamento",biologo,"sim, instituicao privada",puc/pr,estudante,biologia,01 - 05,herpetologia,sim,nao sei responder,,parcialmente satisfatorio,certos tipos de equipamento nao estao disponiveis,,hpsec,nao tenho conhecimento,,"apesar de dificuldades com equipamentos, nao foi necessario alterar nenhum projeto porque contamos com equipamentos de colaboradores",microscopio eletronico,talvez,nao,,
26,8/23/2018 2:31:17,feminino,30,brazil,sp,campinas,"doutorado, em andamento",quimica,"sim, instituicao publica",unicamp,"estudante, pesquisador",quimica,06 - 10,quimica organica,nao,nao sei responder,nao,satisfatorio,nao percebo dificuldades em relacao ao acesso de equipamentos,,rmn,nao tenho conhecimento,,"apesar de dificuldades com equipamentos, nao foi necessario alterar nenhum projeto porque contamos com equipamentos de colaboradores",rmn,sim,nao,,
27,8/23/2018 2:50:26,feminino,25,brazil,sp,franca,mestrado,biomedica,nao,,estudante,farmacia,01 - 05,toxicologia,sim,sim,,satisfatorio,nao percebo dificuldades em relacao ao acesso de equipamentos,,"icp-ms, lc/ms-ms, cg/ms-ms",sim,icp-ms,por quebra do equipamento existente e demora na manutencao,equipamentos de biologia molecular/epigenetica/gwas,sim,sim,pela marca ter sido recomendada,sim
28,8/23/2018 3:31:17,feminino,51,brazil,rs,porto alegre,especializacao,biologia prof,"sim, instituicao publica",,professor,biologia,11 - 15,,nao,nao,,insatisfatorio,certos tipos de equipamento nao estao disponiveis,custo,nao tenho laboratorio,sim,nao tenho laboratorio,,,talvez,nao,,
29,8/23/2018 3:42:20,masculino,28,brazil,rs,pelotas,"graduacao - bacharelado, em andamento",biotecnologia,"sim, instituicao publica",ufpel,estudante,biologia,01 - 05,genetica,sim,sim,,parcialmente satisfatorio,demora na manutencao/conserto do equipamento existente,,capela; vidraria,nao,,por quebra do equipamento existente e demora na manutencao,capela; vidrarias,sim,nao,,
30,8/23/2018 3:45:11,feminino,21,brazil,pr,curitiba,"graduacao - bacharelado, em andamento",engenharia de bioprocessos e biotecnologia,"sim, instituicao publica",universidade federal do parana,estudante,biologia,01 - 05,microbiologia e enzimologia,nao sei responder,nao sei responder,,parcialmente satisfatorio,demora na manutencao/conserto do equipamento existente,,,sim,,"por quebra do equipamento existente e demora na manutencao, equipamento indisponivel (outras razoes alem de quebra)",,sim,nao,,
